"filename", "language", "JavaScript", "CSS", "JavaScript React", "XML", "JSON", "comment", "blank", "total"
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\App.css", "CSS", 0, 33, 0, 0, 0, 0, 6, 39
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\App.js", "JavaScript", 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\assets\lotties\iworkoff.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\Button.css", "CSS", 0, 25, 0, 0, 0, 0, 2, 27
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\Button.jsx", "JavaScript React", 0, 0, 6, 0, 0, 1, 1, 8
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\Card.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\Card.jsx", "JavaScript React", 0, 0, 19, 0, 0, 1, 2, 22
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\DetailsTitle.css", "CSS", 0, 23, 0, 0, 0, 0, 5, 28
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\DetailsTitle.jsx", "JavaScript React", 0, 0, 21, 0, 0, 1, 1, 23
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\Field.css", "CSS", 0, 25, 0, 0, 0, 0, 3, 28
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\Field.jsx", "JavaScript React", 0, 0, 7, 0, 0, 1, 1, 9
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\IconifiedTitle.css", "CSS", 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\IconifiedTitle.jsx", "JavaScript React", 0, 0, 11, 0, 0, 1, 1, 13
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\Nav.css", "CSS", 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\Nav.jsx", "JavaScript React", 0, 0, 19, 0, 0, 1, 1, 21
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\Searchbar.css", "CSS", 0, 26, 0, 0, 0, 0, 3, 29
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\Searchbar.jsx", "JavaScript React", 0, 0, 11, 0, 0, 1, 1, 13
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\Submit.css", "CSS", 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\Submit.jsx", "JavaScript React", 0, 0, 4, 0, 0, 1, 1, 6
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\Title.css", "CSS", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\Title.jsx", "JavaScript React", 0, 0, 7, 0, 0, 1, 1, 9
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\UncontrolledLottie.css", "CSS", 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\UncontrolledLottie.jsx", "JavaScript React", 0, 0, 15, 0, 0, 1, 2, 18
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\dataInfo\ActivitiesData.css", "CSS", 0, 24, 0, 0, 0, 0, 3, 27
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\dataInfo\ActivitiesData.jsx", "JavaScript React", 0, 0, 22, 0, 0, 1, 4, 27
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\dataInfo\AppCollapse.css", "CSS", 0, 34, 0, 0, 0, 0, 7, 41
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\dataInfo\AppCollapse.jsx", "JavaScript React", 0, 0, 31, 0, 0, 1, 3, 35
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\dataInfo\AppsUtilizados.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\dataInfo\AppsUtilizados.jsx", "JavaScript React", 0, 0, 14, 0, 0, 1, 2, 17
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\dataInfo\ChartContainer.css", "CSS", 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\dataInfo\ChartContainer.jsx", "JavaScript React", 0, 0, 15, 0, 0, 1, 3, 19
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\dataInfo\DataSide.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\dataInfo\DataSide.jsx", "JavaScript React", 0, 0, 17, 0, 0, 1, 1, 19
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\dataInfo\TimelineChart.css", "CSS", 0, 67, 0, 0, 0, 0, 13, 80
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\dataInfo\TimelineChart.jsx", "JavaScript React", 0, 0, 77, 0, 0, 1, 13, 91
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\dateControls\DateSectionController.css", "CSS", 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\dateControls\DateSectionController.jsx", "JavaScript React", 0, 0, 27, 0, 0, 1, 4, 32
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\dateControls\DiaCard.css", "CSS", 0, 43, 0, 0, 0, 0, 7, 50
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\dateControls\DiaCard.jsx", "JavaScript React", 0, 0, 11, 0, 0, 1, 1, 13
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\dateControls\Diaria.css", "CSS", 0, 28, 0, 0, 0, 0, 3, 31
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\components\dateControls\Diaria.jsx", "JavaScript React", 0, 0, 68, 0, 0, 1, 7, 76
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\fakeData\DatetimeInfo.jsx", "JavaScript React", 0, 0, 147, 0, 0, 0, 9, 156
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\index.css", "CSS", 0, 22, 0, 0, 0, 0, 4, 26
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 3, 3, 18
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\view\Art.css", "CSS", 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\view\Art.jsx", "JavaScript React", 0, 0, 14, 0, 0, 1, 1, 16
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\view\Dashboard.css", "CSS", 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\view\Dashboard.jsx", "JavaScript React", 0, 0, 15, 0, 0, 5, 1, 21
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\view\Details.css", "CSS", 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\view\Details.jsx", "JavaScript React", 0, 0, 42, 0, 0, 1, 2, 45
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\view\FirstPage.css", "CSS", 0, 17, 0, 0, 0, 0, 2, 19
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\view\FirstPage.jsx", "JavaScript React", 0, 0, 39, 0, 0, 1, 2, 42
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\view\Login.css", "CSS", 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\view\Login.jsx", "JavaScript React", 0, 0, 15, 0, 0, 1, 1, 17
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\view\Recovery.css", "CSS", 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\abner\OneDrive\Documentos\VSCode\iworkoff\src\view\Recovery.jsx", "JavaScript React", 0, 0, 17, 0, 0, 1, 1, 19
"Total", "-", 45, 551, 691, 1, 1, 36, 161, 1486